Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
HU-27-EX1-OT1-MBTR_A_NS	 2191	 15146	 10609.90	 35.23	 38.64	 38.10	 0.00
HU-27-EX1-OT1-MBTR_A_PA	 923	 3512	 1660.08	 35.79	 38.72	 38.13	 0.00
HU-27-EX1-OT1-MBTR_A_PB1	 267	 1858	 1221.39	 35.44	 38.69	 38.11	 0.00
HU-27-EX1-OT1-MBTR_A_PB2	 1259	 2959	 1896.45	 36.64	 38.73	 38.08	 0.00
HU-27-EX1-OT2-UNI_A_HA_H3	 1760	 14539	 10957.10	 35.03	 38.63	 37.67	 0.00
HU-27-EX1-OT2-UNI_A_MP	 345	 4809	 3306.31	 34.28	 38.48	 37.72	 0.00
HU-27-EX1-OT2-UNI_A_NA_N2	 467	 5960	 4126.31	 33.61	 38.42	 37.71	 0.00
HU-27-EX1-OT2-UNI_A_NP	 158	 2400	 1792.97	 33.34	 38.45	 37.59	 0.00
HU-27-EX1-OT2-UNI_A_NS	 57	 469	 350.09	 34.38	 38.65	 37.88	 0.00
HU-27-EX1-OT2-UNI_A_PA	 1060	 6434	 3551.94	 34.35	 38.60	 37.69	 0.00
HU-27-EX1-OT2-UNI_A_PB1	 442	 6577	 4912.15	 33.95	 38.42	 37.65	 0.00
HU-27-EX1-OT2-UNI_A_PB2	 1285	 4650	 3549.46	 34.65	 38.46	 37.60	 0.00
HU-27-EX1-OT3-MBTA_A_HA_H3	 150	 773	 628.83	 35.84	 38.71	 37.83	 0.00
HU-27-EX1-OT3-MBTA_A_MP	 890	 6708	 4701.67	 35.15	 38.59	 37.90	 0.00
HU-27-EX1-OT3-MBTA_A_NA_N2	 195	 1952	 1366.48	 34.82	 38.66	 37.83	 0.00
HU-27-EX1-OT3-MBTA_A_NP	 153	 1188	 864.15	 34.30	 38.55	 37.71	 0.00
HU-27-EX1-OT3-MBTA_A_NS	 691	 3980	 2640.35	 35.66	 38.57	 37.85	 0.00
HU-27-EX1-OT3-MBTA_A_PA	 147	 748	 344.61	 35.31	 38.84	 37.86	 0.00
