Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
SW-20-EX2-OT2-MBT_A_HA_H3	 1	 23	 11.73	 32.33	 39.00	 37.68	 99.94
SW-20-EX2-OT2-MBT_A_MP	 2	 80	 50.32	 25.40	 37.47	 32.57	 49.44
SW-20-EX2-OT2-MBT_A_NA_N2	 1	 39	 17.57	 25.75	 39.00	 36.73	 99.93
SW-20-EX2-OT2-MBT_A_NP	 2	 29	 18.78	 23.38	 39.00	 33.58	 99.93
SW-20-EX2-OT2-MBT_A_NS	 7	 45	 25.46	 23.13	 38.71	 33.23	 99.88
SW-20-EX2-OT2-MBT_A_PA	 2	 21	 14.01	 14.00	 39.00	 35.89	 99.95
SW-20-EX2-OT2-MBT_A_PB1	 1	 17	 8.07	 12.00	 39.00	 33.74	 99.96
SW-20-EX2-OT2-MBT_A_PB2	 3	 20	 12.90	 16.00	 39.00	 35.07	 99.96
SW-20-EX2-OT2-UNI_A_HA_H3	 4	 37	 20.42	 31.60	 39.00	 37.48	 99.94
SW-20-EX2-OT2-UNI_A_MP	 6	 107	 74.60	 32.77	 38.69	 36.50	 21.06
SW-20-EX2-OT2-UNI_A_NA_N2	 1	 25	 15.99	 26.00	 39.12	 37.17	 99.93
SW-20-EX2-OT2-UNI_A_NP	 4	 61	 38.96	 31.84	 38.79	 36.62	 79.51
SW-20-EX2-OT2-UNI_A_NS	 8	 45	 28.81	 27.60	 39.00	 35.69	 99.88
SW-20-EX2-OT2-UNI_A_PA	 5	 28	 15.57	 25.33	 39.17	 36.80	 99.95
SW-20-EX2-OT2-UNI_A_PB1	 2	 27	 13.55	 15.00	 39.00	 35.56	 99.96
SW-20-EX2-OT2-UNI_A_PB2	 2	 22	 11.68	 21.50	 39.00	 35.53	 99.96
SW-21-EX1-OT1-MBT_A_HA_H1	 68	 3049	 1671.23	 31.87	 38.35	 37.27	 0.00
SW-21-EX1-OT1-MBT_A_MP	 1350	 11925	 8301.61	 34.45	 38.23	 37.54	 0.00
SW-21-EX1-OT1-MBT_A_NA_N2	 170	 1993	 1264.80	 35.07	 38.45	 37.64	 0.00
SW-21-EX1-OT1-MBT_A_NP	 512	 5041	 3727.70	 32.51	 38.31	 37.37	 0.00
SW-21-EX1-OT1-MBT_A_NS	 997	 6229	 4600.08	 33.20	 38.32	 37.45	 0.00
SW-21-EX1-OT1-MBT_A_PA	 392	 984	 518.09	 34.71	 38.56	 37.52	 0.00
SW-21-EX1-OT1-MBT_A_PB1	 222	 1653	 479.72	 35.62	 38.44	 37.60	 0.00
SW-21-EX1-OT1-MBT_A_PB2	 144	 859	 406.95	 34.60	 38.56	 37.51	 0.00
SW-21-EX1-OT1-MBT2_A_HA_H1	 62	 2620	 1402.19	 31.17	 38.30	 37.25	 0.00
SW-21-EX1-OT1-MBT2_A_MP	 1132	 11111	 7679.06	 34.33	 38.23	 37.54	 0.00
SW-21-EX1-OT1-MBT2_A_NA_N2	 169	 1880	 1177.01	 35.13	 38.49	 37.64	 0.00
SW-21-EX1-OT1-MBT2_A_NP	 369	 3520	 2684.71	 32.22	 38.25	 37.32	 0.00
SW-21-EX1-OT1-MBT2_A_NS	 1106	 7910	 5721.95	 33.06	 38.25	 37.43	 0.00
SW-21-EX1-OT1-MBT2_A_PA	 533	 1847	 825.66	 34.90	 38.46	 37.52	 0.00
SW-21-EX1-OT1-MBT2_A_PB1	 284	 2129	 629.56	 35.60	 38.47	 37.60	 0.00
SW-21-EX1-OT1-MBT2_A_PB2	 484	 2318	 966.42	 34.83	 38.32	 37.55	 0.00
SW-21-EX1-OT1-UNI_A_HA_H1	 51	 5220	 2826.24	 32.09	 38.42	 37.42	 0.00
SW-21-EX1-OT1-UNI_A_MP	 296	 3806	 2622.97	 34.81	 38.24	 37.59	 0.00
SW-21-EX1-OT1-UNI_A_NA_N2	 56	 1018	 667.89	 36.16	 38.72	 37.85	 0.00
SW-21-EX1-OT1-UNI_A_NP	 372	 5040	 3739.28	 32.52	 38.33	 37.49	 0.00
SW-21-EX1-OT1-UNI_A_NS	 208	 1992	 1401.47	 33.53	 38.27	 37.38	 0.00
SW-21-EX1-OT1-UNI_A_PA	 228	 833	 619.10	 34.74	 38.45	 37.61	 0.00
SW-21-EX1-OT1-UNI_A_PB1	 842	 5763	 2800.56	 36.30	 38.50	 37.77	 0.00
SW-21-EX1-OT1-UNI_A_PB2	 285	 2586	 1506.00	 35.17	 38.44	 37.70	 0.00
SW-21-EX1-OT2-MBT_A_HA_H1	 59	 3015	 1669.33	 33.17	 38.43	 37.44	 0.00
SW-21-EX1-OT2-MBT_A_MP	 880	 8280	 5891.53	 34.70	 38.28	 37.63	 0.00
SW-21-EX1-OT2-MBT_A_NA_N2	 245	 2315	 1503.62	 35.82	 38.59	 37.78	 0.00
SW-21-EX1-OT2-MBT_A_NP	 246	 2477	 1874.59	 32.75	 38.34	 37.45	 0.00
SW-21-EX1-OT2-MBT_A_NS	 900	 6333	 4568.08	 33.83	 38.29	 37.50	 0.00
SW-21-EX1-OT2-MBT_A_PA	 502	 1531	 789.46	 34.92	 38.51	 37.60	 0.00
SW-21-EX1-OT2-MBT_A_PB1	 216	 1200	 388.44	 35.90	 38.52	 37.63	 0.00
SW-21-EX1-OT2-MBT_A_PB2	 481	 1944	 856.22	 35.39	 38.42	 37.62	 0.00
SW-21-EX1-OT2-UNI_A_HA_H1	 82	 3986	 2238.62	 33.41	 38.37	 37.27	 0.00
SW-21-EX1-OT2-UNI_A_MP	 373	 5922	 3974.78	 33.97	 38.20	 37.47	 0.00
SW-21-EX1-OT2-UNI_A_NA_N2	 162	 2107	 1336.41	 35.18	 38.36	 37.55	 0.00
SW-21-EX1-OT2-UNI_A_NP	 177	 2408	 1781.27	 31.57	 38.32	 37.20	 0.00
SW-21-EX1-OT2-UNI_A_NS	 314	 3043	 2124.15	 32.94	 38.31	 37.38	 0.00
SW-21-EX1-OT2-UNI_A_PA	 439	 2163	 1466.70	 33.91	 38.43	 37.38	 0.00
SW-21-EX1-OT2-UNI_A_PB1	 82	 1915	 845.82	 34.44	 38.52	 37.47	 0.00
SW-21-EX1-OT2-UNI_A_PB2	 385	 3799	 1691.43	 34.75	 38.25	 37.40	 0.00
SW-21-EX2-OT1-MBT_A_HA_H1	 20	 727	 443.20	 30.90	 38.67	 37.43	 4.18
SW-21-EX2-OT1-MBT_A_MP	 1169	 9973	 7305.70	 34.78	 38.26	 37.65	 0.00
SW-21-EX2-OT1-MBT_A_NA_N2	 114	 983	 631.60	 35.76	 38.54	 37.79	 0.00
SW-21-EX2-OT1-MBT_A_NP	 285	 2841	 2097.89	 32.57	 38.37	 37.51	 0.00
SW-21-EX2-OT1-MBT_A_NS	 1326	 7562	 5765.38	 33.48	 38.28	 37.53	 0.00
SW-21-EX2-OT1-MBT_A_PA	 571	 2096	 937.51	 34.94	 38.40	 37.64	 0.00
SW-21-EX2-OT1-MBT_A_PB1	 339	 2919	 763.33	 36.49	 38.53	 37.84	 0.00
SW-21-EX2-OT1-MBT_A_PB2	 378	 1860	 804.71	 35.71	 38.44	 37.73	 0.00
SW-21-EX2-OT1-MBT2_A_HA_H1	 48	 3324	 1789.57	 33.37	 38.45	 37.47	 0.29
SW-21-EX2-OT1-MBT2_A_MP	 1007	 8604	 5988.46	 35.02	 38.22	 37.65	 0.00
SW-21-EX2-OT1-MBT2_A_NA_N2	 194	 2810	 1827.25	 35.83	 38.44	 37.78	 0.00
SW-21-EX2-OT1-MBT2_A_NP	 396	 3837	 2878.47	 32.52	 38.29	 37.47	 0.00
SW-21-EX2-OT1-MBT2_A_NS	 1418	 9102	 6709.33	 33.71	 38.25	 37.53	 0.00
SW-21-EX2-OT1-MBT2_A_PA	 414	 1105	 582.16	 34.47	 38.46	 37.61	 0.00
SW-21-EX2-OT1-MBT2_A_PB1	 907	 4477	 1539.88	 36.25	 38.41	 37.80	 0.00
SW-21-EX2-OT1-MBT2_A_PB2	 248	 1593	 777.99	 35.43	 38.41	 37.68	 0.00
SW-21-EX2-OT1-UNI_A_HA_H1	 16	 1879	 942.21	 32.03	 38.47	 37.33	 3.59
SW-21-EX2-OT1-UNI_A_MP	 231	 2987	 2019.94	 34.77	 38.27	 37.55	 0.00
SW-21-EX2-OT1-UNI_A_NA_N2	 12	 322	 224.63	 34.25	 38.72	 37.74	 3.47
SW-21-EX2-OT1-UNI_A_NP	 679	 8445	 6262.99	 32.42	 38.35	 37.45	 0.00
SW-21-EX2-OT1-UNI_A_NS	 167	 1706	 1150.65	 33.06	 38.34	 37.38	 0.00
SW-21-EX2-OT1-UNI_A_PA	 272	 990	 770.86	 34.60	 38.51	 37.59	 0.00
SW-21-EX2-OT1-UNI_A_PB1	 905	 6797	 4062.40	 36.00	 38.32	 37.73	 0.00
SW-21-EX2-OT1-UNI_A_PB2	 235	 3306	 2065.65	 34.91	 38.38	 37.65	 0.00
SW-21-EX2-OT2-MBT_A_HA_H1	 69	 2432	 1331.98	 33.04	 38.34	 37.15	 0.00
SW-21-EX2-OT2-MBT_A_MP	 536	 5436	 3773.28	 34.20	 38.13	 37.40	 0.00
SW-21-EX2-OT2-MBT_A_NA_N2	 288	 2825	 1860.10	 34.86	 38.38	 37.54	 0.00
SW-21-EX2-OT2-MBT_A_NP	 287	 2719	 2005.90	 32.15	 38.19	 37.22	 0.00
SW-21-EX2-OT2-MBT_A_NS	 915	 6424	 4689.40	 32.75	 38.16	 37.32	 0.00
SW-21-EX2-OT2-MBT_A_PA	 547	 1755	 984.69	 34.33	 38.28	 37.38	 0.00
SW-21-EX2-OT2-MBT_A_PB1	 371	 1504	 742.52	 35.62	 38.45	 37.57	 0.00
SW-21-EX2-OT2-MBT_A_PB2	 680	 2749	 1462.34	 34.59	 38.30	 37.44	 0.00
SW-21-EX2-OT2-UNI_A_HA_H1	 52	 2366	 1453.05	 32.95	 38.48	 37.35	 0.00
SW-21-EX2-OT2-UNI_A_MP	 398	 5266	 3589.37	 34.35	 38.24	 37.52	 0.00
SW-21-EX2-OT2-UNI_A_NA_N2	 228	 2872	 1880.94	 34.83	 38.32	 37.63	 0.00
SW-21-EX2-OT2-UNI_A_NP	 261	 3432	 2548.88	 32.42	 38.28	 37.31	 0.00
SW-21-EX2-OT2-UNI_A_NS	 531	 4875	 3497.94	 33.48	 38.29	 37.42	 0.00
SW-21-EX2-OT2-UNI_A_PA	 467	 2663	 1599.14	 34.44	 38.45	 37.52	 0.00
SW-21-EX2-OT2-UNI_A_PB1	 147	 2706	 1294.96	 35.17	 38.38	 37.60	 0.00
SW-21-EX2-OT2-UNI_A_PB2	 593	 4753	 2218.51	 34.78	 38.39	 37.56	 0.00
HU-37-EX1-OT1-MBT_A_HA_H1	 12	 96	 61.52	 34.71	 38.92	 37.55	 11.52
HU-37-EX1-OT1-MBT_A_MP	 239	 2117	 1540.98	 34.56	 38.29	 37.56	 0.00
HU-37-EX1-OT1-MBT_A_NA_N1	 18	 186	 128.28	 34.28	 38.59	 37.56	 6.24
HU-37-EX1-OT1-MBT_A_NP	 7	 137	 99.01	 32.50	 38.73	 37.20	 3.54
HU-37-EX1-OT1-MBT_A_NS	 249	 1444	 1086.98	 33.71	 38.24	 37.37	 0.00
HU-37-EX1-OT1-MBT_A_PA	 6	 942	 213.78	 30.00	 39.12	 37.38	 53.44
HU-37-EX1-OT1-MBT_A_PB1	 7	 181	 47.87	 30.55	 39.10	 37.67	 65.71
HU-37-EX1-OT1-MBT_A_PB2	 10	 1523	 293.68	 30.62	 38.93	 37.30	 59.84
HU-37-EX1-OT1-MBT2_A_HA_H1	 16	 65	 29.24	 32.35	 39.03	 37.42	 92.42
HU-37-EX1-OT1-MBT2_A_MP	 228	 1814	 1351.82	 34.44	 38.38	 37.48	 0.00
HU-37-EX1-OT1-MBT2_A_NA_N1	 23	 185	 124.57	 34.33	 38.76	 37.36	 6.09
HU-37-EX1-OT1-MBT2_A_NP	 10	 77	 60.48	 30.20	 38.82	 36.91	 10.15
HU-37-EX1-OT1-MBT2_A_NS	 193	 1148	 864.59	 33.30	 38.29	 37.33	 0.00
HU-37-EX1-OT1-MBT2_A_PA	 6	 916	 215.52	 30.24	 39.00	 37.21	 52.42
HU-37-EX1-OT1-MBT2_A_PB1	 5	 167	 44.35	 30.89	 39.14	 37.68	 66.24
HU-37-EX1-OT1-MBT2_A_PB2	 6	 1353	 251.25	 25.71	 39.00	 36.94	 60.15
HU-37-EX1-OT1-UNI_A_HA_H1	 38	 597	 270.86	 35.31	 38.59	 37.59	 0.94
HU-37-EX1-OT1-UNI_A_MP	 182	 2380	 1708.39	 34.45	 38.40	 37.49	 0.00
HU-37-EX1-OT1-UNI_A_NA_N1	 2	 152	 102.28	 35.74	 39.00	 37.51	 12.12
HU-37-EX1-OT1-UNI_A_NP	 40	 552	 404.02	 33.08	 38.54	 37.48	 0.27
HU-37-EX1-OT1-UNI_A_NS	 242	 2189	 1587.86	 33.32	 38.25	 37.31	 0.00
HU-37-EX1-OT1-UNI_A_PA	 35	 1533	 369.09	 33.83	 38.82	 37.29	 28.95
HU-37-EX1-OT1-UNI_A_PB1	 28	 367	 116.49	 34.43	 38.88	 37.50	 36.97
HU-37-EX1-OT1-UNI_A_PB2	 111	 2894	 635.98	 35.29	 38.70	 37.55	 0.00
HU-37-EX1-OT2-MBT_A_HA_H1	 269	 1542	 650.04	 35.54	 38.51	 37.53	 0.00
HU-37-EX1-OT2-MBT_A_MP	 500	 4280	 3138.69	 34.63	 38.30	 37.47	 0.00
HU-37-EX1-OT2-MBT_A_NA_N1	 181	 1937	 1365.61	 35.72	 38.48	 37.58	 0.00
HU-37-EX1-OT2-MBT_A_NP	 164	 1340	 1119.54	 32.12	 38.42	 37.30	 0.00
HU-37-EX1-OT2-MBT_A_NS	 604	 3887	 2899.21	 33.53	 38.24	 37.38	 0.00
HU-37-EX1-OT2-MBT_A_PA	 34	 813	 231.70	 33.74	 38.70	 37.41	 23.14
HU-37-EX1-OT2-MBT_A_PB1	 34	 642	 175.92	 34.36	 38.57	 37.42	 9.71
HU-37-EX1-OT2-MBT_A_PB2	 111	 1346	 344.38	 35.15	 38.47	 37.49	 0.00
HU-37-EX1-OT2-UNI_A_HA_H1	 188	 9256	 3595.04	 35.79	 38.40	 37.51	 0.00
HU-37-EX1-OT2-UNI_A_MP	 604	 7490	 5399.27	 34.38	 38.24	 37.40	 0.00
HU-37-EX1-OT2-UNI_A_NA_N1	 360	 5040	 3682.63	 35.14	 38.33	 37.45	 0.00
HU-37-EX1-OT2-UNI_A_NP	 315	 3781	 2610.09	 32.43	 38.26	 37.27	 0.00
HU-37-EX1-OT2-UNI_A_NS	 753	 7114	 5166.61	 33.58	 38.23	 37.23	 0.00
HU-37-EX1-OT2-UNI_A_PA	 98	 2696	 775.12	 34.48	 38.46	 37.28	 0.00
HU-37-EX1-OT2-UNI_A_PB1	 187	 2417	 974.25	 35.44	 38.53	 37.51	 0.00
HU-37-EX1-OT2-UNI_A_PB2	 432	 4235	 1195.41	 35.67	 38.26	 37.43	 0.00
HU-37-EX2-OT1-MBT_A_HA_H1	 13	 100	 68.32	 33.22	 38.78	 37.23	 6.58
HU-37-EX2-OT1-MBT_A_MP	 257	 2155	 1609.90	 34.51	 38.27	 37.43	 0.00
HU-37-EX2-OT1-MBT_A_NA_N1	 46	 656	 483.73	 35.03	 38.49	 37.49	 0.28
HU-37-EX2-OT1-MBT_A_NP	 48	 353	 276.56	 32.90	 38.62	 37.21	 0.20
HU-37-EX2-OT1-MBT_A_NS	 239	 1488	 1122.03	 33.35	 38.20	 37.29	 0.00
HU-37-EX2-OT1-MBT_A_PA	 4	 113	 35.18	 28.50	 39.00	 36.86	 66.78
HU-37-EX2-OT1-MBT_A_PB1	 22	 154	 63.64	 34.15	 38.88	 37.46	 46.64
HU-37-EX2-OT1-MBT_A_PB2	 16	 297	 82.31	 32.81	 38.90	 37.40	 61.16
HU-37-EX2-OT1-MBT2_A_HA_H1	 11	 88	 49.80	 34.52	 39.00	 37.68	 49.59
HU-37-EX2-OT1-MBT2_A_MP	 269	 2564	 1896.00	 34.69	 38.37	 37.55	 0.00
HU-37-EX2-OT1-MBT2_A_NA_N1	 26	 284	 194.39	 34.90	 38.58	 37.59	 2.69
HU-37-EX2-OT1-MBT2_A_NP	 19	 118	 87.63	 32.11	 38.68	 37.26	 4.74
HU-37-EX2-OT1-MBT2_A_NS	 246	 1505	 1118.85	 33.96	 38.32	 37.43	 0.00
HU-37-EX2-OT1-MBT2_A_PA	 4	 434	 114.18	 28.33	 39.00	 36.92	 55.20
HU-37-EX2-OT1-MBT2_A_PB1	 27	 288	 100.44	 33.62	 38.91	 37.45	 29.05
HU-37-EX2-OT1-MBT2_A_PB2	 18	 1031	 225.27	 34.22	 38.87	 37.42	 60.11
HU-37-EX2-OT1-UNI_A_HA_H1	 31	 401	 311.56	 35.28	 38.62	 37.48	 0.59
HU-37-EX2-OT1-UNI_A_MP	 418	 4796	 3436.89	 34.16	 38.28	 37.45	 0.00
HU-37-EX2-OT1-UNI_A_NA_N1	 28	 587	 443.61	 34.87	 38.50	 37.56	 1.28
HU-37-EX2-OT1-UNI_A_NP	 170	 1950	 1558.93	 32.69	 38.34	 37.32	 0.00
HU-37-EX2-OT1-UNI_A_NS	 267	 2323	 1676.93	 33.62	 38.34	 37.36	 0.00
HU-37-EX2-OT1-UNI_A_PA	 68	 479	 187.40	 33.90	 38.60	 37.35	 0.00
HU-37-EX2-OT1-UNI_A_PB1	 61	 672	 399.72	 35.68	 38.48	 37.61	 0.00
HU-37-EX2-OT1-UNI_A_PB2	 459	 2159	 828.49	 35.57	 38.29	 37.49	 0.00
HU-37-EX2-OT2-MBT_A_HA_H1	 209	 1245	 757.15	 35.79	 38.55	 37.48	 0.00
HU-37-EX2-OT2-MBT_A_MP	 365	 3297	 2374.86	 34.45	 38.37	 37.45	 0.00
HU-37-EX2-OT2-MBT_A_NA_N1	 169	 1695	 1226.37	 35.63	 38.50	 37.59	 0.00
HU-37-EX2-OT2-MBT_A_NP	 140	 1311	 1088.53	 32.49	 38.47	 37.28	 0.00
HU-37-EX2-OT2-MBT_A_NS	 448	 2970	 2218.84	 33.23	 38.25	 37.33	 0.00
HU-37-EX2-OT2-MBT_A_PA	 62	 986	 334.43	 34.76	 38.61	 37.34	 0.00
HU-37-EX2-OT2-MBT_A_PB1	 76	 746	 272.22	 34.61	 38.57	 37.43	 0.00
HU-37-EX2-OT2-MBT_A_PB2	 226	 1579	 518.89	 35.30	 38.40	 37.43	 0.00
HU-37-EX2-OT2-UNI_A_HA_H1	 102	 3419	 1520.29	 35.39	 38.38	 37.46	 0.00
HU-37-EX2-OT2-UNI_A_MP	 313	 3808	 2674.05	 34.44	 38.25	 37.36	 0.00
HU-37-EX2-OT2-UNI_A_NA_N1	 139	 1975	 1474.83	 35.58	 38.43	 37.43	 0.00
HU-37-EX2-OT2-UNI_A_NP	 157	 1812	 1364.28	 31.94	 38.23	 37.21	 0.00
HU-37-EX2-OT2-UNI_A_NS	 358	 3166	 2254.59	 33.43	 38.21	 37.27	 0.00
HU-37-EX2-OT2-UNI_A_PA	 88	 1453	 477.90	 34.63	 38.55	 37.41	 0.00
HU-37-EX2-OT2-UNI_A_PB1	 86	 1986	 720.24	 35.36	 38.54	 37.49	 0.00
HU-37-EX2-OT2-UNI_A_PB2	 353	 2357	 811.45	 35.15	 38.20	 37.35	 0.00
HU-38-EX1-OT1-MBT_A_HA_H1	 35	 355	 261.21	 33.89	 38.63	 37.53	 0.53
HU-38-EX1-OT1-MBT_A_MP	 975	 7312	 5437.87	 34.48	 38.26	 37.51	 0.00
HU-38-EX1-OT1-MBT_A_NA_N1	 179	 2323	 1654.19	 35.34	 38.44	 37.60	 0.00
HU-38-EX1-OT1-MBT_A_NP	 89	 640	 494.26	 32.11	 38.21	 37.19	 0.00
HU-38-EX1-OT1-MBT_A_NS	 953	 5268	 4061.07	 33.52	 38.25	 37.37	 0.00
HU-38-EX1-OT1-MBT_A_PA	 71	 163	 133.15	 34.33	 38.74	 37.37	 0.00
HU-38-EX1-OT1-MBT_A_PB1	 53	 211	 124.78	 35.15	 38.67	 37.53	 0.00
HU-38-EX1-OT1-MBT_A_PB2	 55	 238	 151.66	 34.31	 38.75	 37.38	 0.00
HU-38-EX1-OT1-MBT2_A_HA_H1	 52	 375	 273.29	 35.39	 38.60	 37.57	 0.00
HU-38-EX1-OT1-MBT2_A_MP	 2688	 21415	 15993.00	 34.76	 38.31	 37.58	 0.00
HU-38-EX1-OT1-MBT2_A_NA_N1	 129	 1045	 744.96	 35.73	 38.54	 37.67	 0.00
HU-38-EX1-OT1-MBT2_A_NP	 90	 605	 474.90	 32.49	 38.43	 37.37	 0.00
HU-38-EX1-OT1-MBT2_A_NS	 1559	 8200	 6210.28	 33.61	 38.22	 37.41	 0.00
HU-38-EX1-OT1-MBT2_A_PA	 186	 467	 280.77	 35.49	 38.49	 37.53	 0.00
HU-38-EX1-OT1-MBT2_A_PB1	 54	 217	 143.44	 35.33	 38.63	 37.47	 0.00
HU-38-EX1-OT1-MBT2_A_PB2	 189	 468	 314.86	 35.74	 38.58	 37.65	 0.00
HU-38-EX1-OT1-UNI_A_HA_H1	 43	 779	 550.68	 35.21	 38.54	 37.46	 0.53
HU-38-EX1-OT1-UNI_A_MP	 1115	 12259	 8663.61	 34.64	 38.26	 37.46	 0.00
HU-38-EX1-OT1-UNI_A_NA_N1	 155	 2723	 1933.34	 35.00	 38.39	 37.48	 0.00
HU-38-EX1-OT1-UNI_A_NP	 183	 2203	 1786.59	 32.55	 38.33	 37.27	 0.00
HU-38-EX1-OT1-UNI_A_NS	 393	 3434	 2481.27	 32.99	 38.20	 37.24	 0.00
HU-38-EX1-OT1-UNI_A_PA	 122	 540	 399.50	 34.56	 38.60	 37.33	 0.00
HU-38-EX1-OT1-UNI_A_PB1	 50	 555	 380.21	 34.83	 38.63	 37.43	 0.00
HU-38-EX1-OT1-UNI_A_PB2	 167	 1359	 987.05	 35.36	 38.35	 37.43	 0.00
HU-38-EX1-OT2-MBT_A_HA_H1	 231	 1940	 1337.46	 35.46	 38.50	 37.54	 0.00
HU-38-EX1-OT2-MBT_A_MP	 661	 6441	 4511.97	 34.44	 38.29	 37.52	 0.00
HU-38-EX1-OT2-MBT_A_NA_N1	 275	 2776	 2028.01	 35.62	 38.48	 37.60	 0.00
HU-38-EX1-OT2-MBT_A_NP	 222	 2248	 1699.62	 32.03	 38.47	 37.36	 0.00
HU-38-EX1-OT2-MBT_A_NS	 729	 5463	 3956.61	 33.15	 38.33	 37.39	 0.00
HU-38-EX1-OT2-MBT_A_PA	 283	 993	 494.61	 34.96	 38.62	 37.43	 0.00
HU-38-EX1-OT2-MBT_A_PB1	 77	 637	 224.38	 35.47	 38.69	 37.60	 0.00
HU-38-EX1-OT2-MBT_A_PB2	 442	 1507	 914.96	 35.23	 38.37	 37.47	 0.00
HU-38-EX1-OT2-UNI_A_HA_H1	 112	 7092	 3203.11	 35.51	 38.34	 37.58	 0.00
HU-38-EX1-OT2-UNI_A_MP	 560	 7799	 5459.19	 34.48	 38.26	 37.54	 0.00
HU-38-EX1-OT2-UNI_A_NA_N1	 278	 3928	 2813.47	 35.44	 38.42	 37.57	 0.00
HU-38-EX1-OT2-UNI_A_NP	 270	 3594	 2514.10	 32.37	 38.40	 37.42	 0.00
HU-38-EX1-OT2-UNI_A_NS	 593	 5414	 3971.88	 33.70	 38.27	 37.38	 0.00
HU-38-EX1-OT2-UNI_A_PA	 336	 1536	 962.10	 35.30	 38.49	 37.49	 0.00
HU-38-EX1-OT2-UNI_A_PB1	 89	 2313	 940.34	 35.60	 38.37	 37.65	 0.00
HU-38-EX1-OT2-UNI_A_PB2	 519	 3176	 1805.84	 35.59	 38.38	 37.56	 0.00
HU-38-EX2-OT1-MBT_A_HA_H1	 86	 575	 463.96	 35.05	 38.49	 37.25	 0.00
HU-38-EX2-OT1-MBT_A_MP	 1360	 11616	 8510.21	 34.09	 38.03	 37.28	 0.00
HU-38-EX2-OT1-MBT_A_NA_N1	 212	 2293	 1659.25	 34.47	 38.18	 37.30	 0.00
HU-38-EX2-OT1-MBT_A_NP	 112	 1210	 909.41	 32.12	 38.24	 37.04	 0.00
HU-38-EX2-OT1-MBT_A_NS	 992	 6719	 4969.74	 32.95	 38.06	 37.12	 0.00
HU-38-EX2-OT1-MBT_A_PA	 74	 240	 153.77	 34.14	 38.67	 37.11	 0.00
HU-38-EX2-OT1-MBT_A_PB1	 63	 1004	 424.84	 34.69	 38.54	 37.42	 0.00
HU-38-EX2-OT1-MBT_A_PB2	 91	 523	 281.44	 35.06	 38.50	 37.30	 0.00
HU-38-EX2-OT1-MBT2_A_HA_H1	 9	 83	 41.41	 33.48	 39.00	 37.39	 74.56
HU-38-EX2-OT1-MBT2_A_MP	 1054	 8766	 6517.33	 34.70	 38.22	 37.52	 0.00
HU-38-EX2-OT1-MBT2_A_NA_N1	 34	 222	 152.06	 35.32	 38.64	 37.42	 3.05
HU-38-EX2-OT1-MBT2_A_NP	 6	 50	 35.33	 31.17	 38.93	 36.67	 99.67
HU-38-EX2-OT1-MBT2_A_NS	 713	 3490	 2714.62	 33.54	 38.25	 37.34	 0.00
HU-38-EX2-OT1-MBT2_A_PA	 1	 29	 8.93	 14.00	 39.25	 35.70	 99.95
HU-38-EX2-OT1-MBT2_A_PB1	 6	 42	 17.92	 30.50	 39.00	 37.12	 99.96
HU-38-EX2-OT1-MBT2_A_PB2	 10	 285	 50.26	 31.29	 38.82	 37.15	 75.71
HU-38-EX2-OT1-UNI_A_HA_H1	 47	 624	 462.04	 34.68	 38.65	 37.55	 0.29
HU-38-EX2-OT1-UNI_A_MP	 665	 7307	 5402.63	 34.81	 38.29	 37.58	 0.00
HU-38-EX2-OT1-UNI_A_NA_N1	 24	 449	 331.42	 35.45	 38.78	 37.58	 1.20
HU-38-EX2-OT1-UNI_A_NP	 120	 1541	 1189.98	 32.64	 38.33	 37.47	 0.00
HU-38-EX2-OT1-UNI_A_NS	 398	 3085	 2309.81	 33.78	 38.21	 37.34	 0.00
HU-38-EX2-OT1-UNI_A_PA	 104	 407	 308.39	 34.80	 38.43	 37.52	 0.00
HU-38-EX2-OT1-UNI_A_PB1	 77	 748	 560.42	 36.13	 38.69	 37.72	 0.00
HU-38-EX2-OT1-UNI_A_PB2	 248	 1485	 1170.35	 35.69	 38.32	 37.62	 0.00
HU-38-EX2-OT2-MBT_A_HA_H1	 412	 2822	 2118.90	 35.51	 38.35	 37.55	 0.00
HU-38-EX2-OT2-MBT_A_MP	 1085	 9927	 7143.99	 34.42	 38.27	 37.55	 0.00
HU-38-EX2-OT2-MBT_A_NA_N1	 497	 4222	 3099.08	 35.81	 38.51	 37.62	 0.00
HU-38-EX2-OT2-MBT_A_NP	 396	 3764	 2811.84	 32.44	 38.43	 37.37	 0.00
HU-38-EX2-OT2-MBT_A_NS	 1276	 8625	 6293.88	 33.28	 38.24	 37.39	 0.00
HU-38-EX2-OT2-MBT_A_PA	 492	 1419	 804.14	 35.51	 38.47	 37.53	 0.00
HU-38-EX2-OT2-MBT_A_PB1	 200	 1559	 660.64	 35.34	 38.60	 37.62	 0.00
HU-38-EX2-OT2-MBT_A_PB2	 712	 2370	 1579.14	 35.64	 38.26	 37.51	 0.00
HU-38-EX2-OT2-UNI_A_HA_H1	 156	 3814	 2142.58	 35.50	 38.37	 37.51	 0.00
HU-38-EX2-OT2-UNI_A_MP	 422	 5666	 3991.31	 34.59	 38.20	 37.42	 0.00
HU-38-EX2-OT2-UNI_A_NA_N1	 162	 2573	 1859.45	 35.55	 38.42	 37.53	 0.00
